<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20160118,100000,29.1300000,29.1300000,28.2700000,28.3000000,10501
20160118,100100,28.3000000,28.3300000,28.2900000,28.3200000,4600
20160118,100200,28.3200000,28.3400000,28.2500000,28.3000000,2665
20160118,100300,28.3100000,28.3300000,28.2900000,28.3100000,1355
20160118,100400,28.3100000,28.3300000,28.3000000,28.3300000,1001
20160118,100500,28.3300000,28.3800000,28.3200000,28.3700000,1355
20160118,100600,28.3800000,28.3800000,28.3500000,28.3500000,1500
20160118,100700,28.3500000,28.3600000,28.2600000,28.2700000,2406
20160118,100800,28.2700000,28.3000000,28.1600000,28.2000000,2952
20160118,100900,28.2000000,28.2000000,28.1400000,28.1700000,2423
20160118,101000,28.1700000,28.2200000,28.1500000,28.2200000,2320
20160118,101100,28.2200000,28.2600000,28.1800000,28.2000000,1183
20160118,101200,28.2100000,28.2200000,28.1500000,28.1700000,2152
20160118,101300,28.1700000,28.1900000,28.1500000,28.1800000,960
20160118,101400,28.1700000,28.2300000,28.1700000,28.2100000,2085
20160118,101500,28.2100000,28.2200000,28.1600000,28.2000000,2337
20160118,101600,28.2200000,28.2400000,28.2000000,28.2400000,523
20160118,101700,28.2400000,28.2500000,28.2300000,28.2400000,707
20160118,101800,28.2400000,28.2400000,28.2000000,28.2000000,1322
20160118,101900,28.2000000,28.2100000,28.1700000,28.1900000,648
20160118,102000,28.1800000,28.1900000,28.1500000,28.1800000,2304
20160118,102100,28.1800000,28.2000000,28.1700000,28.1900000,1646
20160118,102200,28.2000000,28.2200000,28.1900000,28.2100000,708
20160118,102300,28.2000000,28.2100000,28.1700000,28.1700000,1244
20160118,102400,28.1600000,28.2000000,28.1600000,28.1900000,1123
20160118,102500,28.1900000,28.2000000,28.1700000,28.1800000,450
20160118,102600,28.1700000,28.2000000,28.1700000,28.2000000,815
20160118,102700,28.1900000,28.2000000,28.1700000,28.2000000,782
20160118,102800,28.1800000,28.1900000,28.1700000,28.1800000,1268
20160118,102900,28.1800000,28.2300000,28.1800000,28.2100000,1361
20160118,103000,28.2100000,28.2100000,28.1800000,28.1800000,863
20160118,103100,28.1800000,28.2300000,28.1800000,28.2000000,2525
20160118,103200,28.1900000,28.2000000,28.1700000,28.1700000,1608
20160118,103300,28.1700000,28.2000000,28.1600000,28.1900000,614
20160118,103400,28.1900000,28.2200000,28.1800000,28.2200000,1202
20160118,103500,28.2100000,28.2300000,28.2100000,28.2200000,730
20160118,103600,28.2200000,28.2300000,28.2000000,28.2100000,1417
20160118,103700,28.2100000,28.2200000,28.1700000,28.1800000,4694
20160118,103800,28.1800000,28.2200000,28.1800000,28.2000000,1382
20160118,103900,28.2000000,28.2200000,28.1800000,28.1800000,1180
20160118,104000,28.1900000,28.2000000,28.1500000,28.1500000,1791
20160118,104100,28.1500000,28.1600000,28.1100000,28.1500000,3328
20160118,104200,28.1500000,28.1600000,28.1200000,28.1300000,470
20160118,104300,28.1200000,28.1600000,28.1200000,28.1300000,1100
20160118,104400,28.1200000,28.1300000,28.1000000,28.1200000,1814
20160118,104500,28.1200000,28.1600000,28.1200000,28.1300000,670
20160118,104600,28.1400000,28.1500000,28.1200000,28.1500000,729
20160118,104700,28.1600000,28.1600000,28.1400000,28.1600000,243
20160118,104800,28.1600000,28.1700000,28.1500000,28.1600000,252
20160118,104900,28.1700000,28.1900000,28.1700000,28.1800000,510
20160118,105000,28.1800000,28.2000000,28.1400000,28.1500000,780
20160118,105100,28.1500000,28.1700000,28.1400000,28.1500000,433
20160118,105200,28.1500000,28.1500000,28.1300000,28.1400000,457
20160118,105300,28.1500000,28.1600000,28.1400000,28.1600000,244
20160118,105400,28.1600000,28.1600000,28.1500000,28.1600000,210
20160118,105500,28.1700000,28.2000000,28.1700000,28.1700000,717
20160118,105600,28.1700000,28.1700000,28.1400000,28.1500000,611
20160118,105700,28.1500000,28.1500000,28.1300000,28.1500000,949
20160118,105800,28.1500000,28.1600000,28.1300000,28.1300000,222
20160118,105900,28.1300000,28.1300000,28.0700000,28.0900000,3937
20160118,110000,28.0900000,28.1300000,28.0700000,28.1300000,3893
20160118,110100,28.1300000,28.1800000,28.1300000,28.1600000,1365
20160118,110200,28.1700000,28.1900000,28.0900000,28.1700000,2264
20160118,110300,28.1600000,28.2000000,28.1500000,28.2000000,1221
20160118,110400,28.1800000,28.2700000,28.1800000,28.2700000,2787
20160118,110500,28.2700000,28.3200000,28.2500000,28.3100000,4644
20160118,110600,28.3100000,28.3800000,28.2900000,28.3800000,5229
20160118,110700,28.3800000,28.4300000,28.3600000,28.4000000,8873
20160118,110800,28.4100000,28.4100000,28.3400000,28.3500000,2375
20160118,110900,28.3500000,28.3800000,28.3300000,28.3500000,1379
20160118,111000,28.3500000,28.3600000,28.3000000,28.3000000,1547
20160118,111100,28.3100000,28.3900000,28.3000000,28.3200000,3896
20160118,111200,28.3200000,28.4300000,28.3200000,28.4200000,4446
20160118,111300,28.4200000,28.4700000,28.4100000,28.4400000,5777
20160118,111400,28.4400000,28.4900000,28.4200000,28.4700000,2099
20160118,111500,28.4700000,28.5200000,28.4400000,28.4600000,4870
20160118,111600,28.4600000,28.5400000,28.4600000,28.5000000,2411
