<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20160118,100000,86212.0000000,87000.0000000,86212.0000000,86900.0000000,3727
20160118,100100,86926.0000000,87140.0000000,86917.0000000,87096.0000000,1856
20160118,100200,87095.0000000,87122.0000000,87034.0000000,87093.0000000,808
20160118,100300,87094.0000000,87125.0000000,87039.0000000,87041.0000000,528
20160118,100400,87040.0000000,87040.0000000,86903.0000000,86942.0000000,127
20160118,100500,86936.0000000,87045.0000000,86928.0000000,86973.0000000,253
20160118,100600,86985.0000000,87015.0000000,86969.0000000,86992.0000000,109
20160118,100700,87002.0000000,87099.0000000,87002.0000000,87099.0000000,238
20160118,100800,87103.0000000,87110.0000000,87023.0000000,87082.0000000,632
20160118,100900,87087.0000000,87154.0000000,87072.0000000,87132.0000000,379
20160118,101000,87138.0000000,87293.0000000,87138.0000000,87254.0000000,349
20160118,101100,87227.0000000,87237.0000000,87175.0000000,87202.0000000,2355
20160118,101200,87200.0000000,87257.0000000,87193.0000000,87257.0000000,763
20160118,101300,87272.0000000,87355.0000000,87256.0000000,87337.0000000,606
20160118,101400,87338.0000000,87377.0000000,87266.0000000,87266.0000000,189
20160118,101500,87278.0000000,87376.0000000,87264.0000000,87297.0000000,801
20160118,101600,87299.0000000,87301.0000000,87240.0000000,87240.0000000,586
20160118,101700,87241.0000000,87241.0000000,87179.0000000,87208.0000000,344
20160118,101800,87217.0000000,87274.0000000,87191.0000000,87274.0000000,577
20160118,101900,87269.0000000,87300.0000000,87240.0000000,87273.0000000,327
20160118,102000,87280.0000000,87329.0000000,87264.0000000,87266.0000000,546
20160118,102100,87260.0000000,87316.0000000,87231.0000000,87316.0000000,397
20160118,102200,87270.0000000,87270.0000000,87192.0000000,87192.0000000,635
20160118,102300,87217.0000000,87255.0000000,87211.0000000,87255.0000000,229
20160118,102400,87251.0000000,87251.0000000,87166.0000000,87172.0000000,605
20160118,102500,87203.0000000,87239.0000000,87164.0000000,87223.0000000,197
20160118,102600,87245.0000000,87254.0000000,87185.0000000,87190.0000000,160
20160118,102700,87200.0000000,87204.0000000,87071.0000000,87088.0000000,702
20160118,102800,87090.0000000,87149.0000000,87079.0000000,87141.0000000,379
20160118,102900,87144.0000000,87146.0000000,87049.0000000,87091.0000000,301
20160118,103000,87075.0000000,87191.0000000,87075.0000000,87188.0000000,460
20160118,103100,87181.0000000,87196.0000000,87142.0000000,87186.0000000,242
20160118,103200,87197.0000000,87239.0000000,87187.0000000,87224.0000000,65
20160118,103300,87228.0000000,87228.0000000,87172.0000000,87190.0000000,119
20160118,103400,87194.0000000,87220.0000000,87178.0000000,87220.0000000,17
20160118,103500,87187.0000000,87205.0000000,87145.0000000,87153.0000000,196
20160118,103600,87168.0000000,87169.0000000,87148.0000000,87148.0000000,45
20160118,103700,87126.0000000,87169.0000000,87103.0000000,87166.0000000,123
20160118,103800,87166.0000000,87178.0000000,87100.0000000,87162.0000000,101
20160118,103900,87169.0000000,87172.0000000,87156.0000000,87172.0000000,104
20160118,104000,87154.0000000,87226.0000000,87127.0000000,87226.0000000,39
20160118,104100,87224.0000000,87293.0000000,87215.0000000,87262.0000000,261
20160118,104200,87252.0000000,87281.0000000,87224.0000000,87281.0000000,26
20160118,104300,87259.0000000,87259.0000000,87191.0000000,87210.0000000,308
20160118,104400,87218.0000000,87218.0000000,87210.0000000,87210.0000000,15
20160118,104500,87222.0000000,87231.0000000,87193.0000000,87200.0000000,171
20160118,104600,87197.0000000,87197.0000000,87175.0000000,87180.0000000,20
20160118,104700,87183.0000000,87212.0000000,87173.0000000,87198.0000000,85
20160118,104800,87190.0000000,87231.0000000,87188.0000000,87230.0000000,56
20160118,104900,87186.0000000,87188.0000000,87150.0000000,87150.0000000,230
20160118,105000,87144.0000000,87161.0000000,87129.0000000,87161.0000000,33
20160118,105100,87144.0000000,87188.0000000,87131.0000000,87185.0000000,52
20160118,105200,87193.0000000,87204.0000000,87192.0000000,87200.0000000,51
20160118,105300,87206.0000000,87223.0000000,87199.0000000,87223.0000000,34
20160118,105400,87240.0000000,87279.0000000,87240.0000000,87266.0000000,66
20160118,105500,87226.0000000,87226.0000000,87206.0000000,87222.0000000,20
20160118,105600,87276.0000000,87276.0000000,87263.0000000,87263.0000000,17
20160118,105700,87301.0000000,87313.0000000,87278.0000000,87299.0000000,114
20160118,105800,87316.0000000,87372.0000000,87316.0000000,87356.0000000,148
20160118,105900,87344.0000000,87392.0000000,87336.0000000,87390.0000000,425
20160118,110000,87390.0000000,87396.0000000,87274.0000000,87284.0000000,577
20160118,110100,87257.0000000,87267.0000000,87220.0000000,87257.0000000,682
20160118,110200,87257.0000000,87328.0000000,87253.0000000,87301.0000000,413
20160118,110300,87259.0000000,87271.0000000,87211.0000000,87263.0000000,272
20160118,110400,87243.0000000,87245.0000000,87155.0000000,87155.0000000,242
20160118,110500,87162.0000000,87163.0000000,87129.0000000,87129.0000000,122
20160118,110600,87138.0000000,87138.0000000,87060.0000000,87068.0000000,789
20160118,110700,87059.0000000,87138.0000000,87052.0000000,87138.0000000,183
20160118,110800,87122.0000000,87136.0000000,87108.0000000,87119.0000000,150
20160118,110900,87109.0000000,87194.0000000,87089.0000000,87194.0000000,362
20160118,111000,87187.0000000,87237.0000000,87174.0000000,87236.0000000,171
20160118,111100,87205.0000000,87205.0000000,87130.0000000,87199.0000000,596
20160118,111200,87132.0000000,87158.0000000,87108.0000000,87108.0000000,133
20160118,111300,87108.0000000,87112.0000000,87057.0000000,87089.0000000,154
20160118,111400,87060.0000000,87077.0000000,87053.0000000,87060.0000000,112
20160118,111500,87049.0000000,87049.0000000,86962.0000000,87036.0000000,567
20160118,111600,87033.0000000,87036.0000000,86984.0000000,86995.0000000,383
20160118,111700,87011.0000000,87018.0000000,86906.0000000,86957.0000000,347
20160118,111800,86959.0000000,87010.0000000,86948.0000000,86991.0000000,280
20160118,111900,86974.0000000,86975.0000000,86902.0000000,86902.0000000,312
20160118,112000,86900.0000000,86946.0000000,86888.0000000,86916.0000000,570
20160118,112100,86909.0000000,87000.0000000,86909.0000000,86963.0000000,482
20160118,112200,86962.0000000,86978.0000000,86944.0000000,86978.0000000,156
20160118,112300,86967.0000000,86967.0000000,86915.0000000,86945.0000000,82
20160118,112400,86957.0000000,87007.0000000,86957.0000000,87007.0000000,120
20160118,112500,87007.0000000,87007.0000000,86933.0000000,86933.0000000,136
20160118,112600,86920.0000000,86951.0000000,86864.0000000,86898.0000000,338
20160118,112700,86945.0000000,86985.0000000,86874.0000000,86886.0000000,365
20160118,112800,86859.0000000,86916.0000000,86825.0000000,86867.0000000,175
20160118,112900,86830.0000000,86830.0000000,86766.0000000,86791.0000000,117
20160118,113000,86798.0000000,86939.0000000,86791.0000000,86913.0000000,368
