<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20160118,100000,12726.0000000,12726.0000000,12559.0000000,12567.0000000,4395
20160118,100100,12562.0000000,12649.0000000,12561.0000000,12624.0000000,3436
20160118,100200,12624.0000000,12627.0000000,12611.0000000,12618.0000000,1278
20160118,100300,12617.0000000,12634.0000000,12616.0000000,12624.0000000,836
20160118,100400,12629.0000000,12680.0000000,12624.0000000,12661.0000000,1541
20160118,100500,12658.0000000,12688.0000000,12645.0000000,12688.0000000,1868
20160118,100600,12688.0000000,12701.0000000,12665.0000000,12669.0000000,1526
20160118,100700,12669.0000000,12674.0000000,12652.0000000,12652.0000000,772
20160118,100800,12652.0000000,12668.0000000,12630.0000000,12641.0000000,1188
20160118,100900,12644.0000000,12644.0000000,12622.0000000,12622.0000000,419
20160118,101000,12624.0000000,12637.0000000,12617.0000000,12631.0000000,507
20160118,101100,12631.0000000,12636.0000000,12625.0000000,12635.0000000,454
20160118,101200,12631.0000000,12631.0000000,12588.0000000,12591.0000000,1332
20160118,101300,12592.0000000,12595.0000000,12563.0000000,12585.0000000,1664
20160118,101400,12586.0000000,12594.0000000,12584.0000000,12588.0000000,425
20160118,101500,12589.0000000,12590.0000000,12545.0000000,12545.0000000,1709
20160118,101600,12547.0000000,12550.0000000,12512.0000000,12531.0000000,1534
20160118,101700,12531.0000000,12559.0000000,12510.0000000,12535.0000000,2605
20160118,101800,12534.0000000,12575.0000000,12529.0000000,12566.0000000,2233
20160118,101900,12565.0000000,12588.0000000,12564.0000000,12580.0000000,1389
20160118,102000,12578.0000000,12597.0000000,12564.0000000,12572.0000000,885
20160118,102100,12574.0000000,12611.0000000,12570.0000000,12593.0000000,822
20160118,102200,12593.0000000,12660.0000000,12593.0000000,12660.0000000,2531
20160118,102300,12659.0000000,12676.0000000,12608.0000000,12653.0000000,2710
20160118,102400,12653.0000000,12669.0000000,12651.0000000,12651.0000000,895
20160118,102500,12651.0000000,12651.0000000,12637.0000000,12644.0000000,1447
20160118,102600,12641.0000000,12651.0000000,12640.0000000,12648.0000000,395
20160118,102700,12648.0000000,12669.0000000,12642.0000000,12668.0000000,869
20160118,102800,12669.0000000,12683.0000000,12662.0000000,12677.0000000,735
20160118,102900,12678.0000000,12686.0000000,12671.0000000,12676.0000000,521
20160118,103000,12671.0000000,12671.0000000,12654.0000000,12662.0000000,592
20160118,103100,12656.0000000,12681.0000000,12656.0000000,12672.0000000,547
20160118,103200,12667.0000000,12667.0000000,12644.0000000,12655.0000000,372
20160118,103300,12655.0000000,12665.0000000,12652.0000000,12652.0000000,315
20160118,103400,12657.0000000,12667.0000000,12657.0000000,12663.0000000,139
20160118,103500,12666.0000000,12668.0000000,12658.0000000,12658.0000000,72
20160118,103600,12660.0000000,12687.0000000,12654.0000000,12687.0000000,447
20160118,103700,12684.0000000,12707.0000000,12679.0000000,12681.0000000,2238
20160118,103800,12682.0000000,12692.0000000,12670.0000000,12680.0000000,480
20160118,103900,12679.0000000,12712.0000000,12677.0000000,12689.0000000,716
