<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20160118,100000,21266.0000000,21266.0000000,21050.0000000,21121.0000000,1219
20160118,100100,21117.0000000,21220.0000000,21117.0000000,21202.0000000,335
20160118,100200,21207.0000000,21253.0000000,21190.0000000,21207.0000000,215
20160118,100300,21226.0000000,21233.0000000,21197.0000000,21197.0000000,60
20160118,100400,21206.0000000,21300.0000000,21206.0000000,21295.0000000,265
20160118,100500,21296.0000000,21448.0000000,21290.0000000,21433.0000000,306
20160118,100600,21447.0000000,21469.0000000,21409.0000000,21436.0000000,231
20160118,100700,21430.0000000,21430.0000000,21300.0000000,21300.0000000,206
20160118,100800,21300.0000000,21322.0000000,21293.0000000,21298.0000000,70
20160118,100900,21294.0000000,21309.0000000,21288.0000000,21297.0000000,61
20160118,101000,21304.0000000,21319.0000000,21288.0000000,21306.0000000,273
20160118,101100,21301.0000000,21308.0000000,21288.0000000,21299.0000000,118
20160118,101200,21299.0000000,21299.0000000,21228.0000000,21232.0000000,125
20160118,101300,21235.0000000,21237.0000000,21140.0000000,21167.0000000,279
20160118,101400,21159.0000000,21169.0000000,21125.0000000,21131.0000000,296
20160118,101500,21131.0000000,21131.0000000,21083.0000000,21084.0000000,144
20160118,101600,21079.0000000,21117.0000000,21063.0000000,21117.0000000,164
20160118,101700,21118.0000000,21196.0000000,21118.0000000,21178.0000000,169
20160118,101800,21169.0000000,21181.0000000,21159.0000000,21172.0000000,96
20160118,101900,21164.0000000,21171.0000000,21139.0000000,21149.0000000,42
20160118,102000,21147.0000000,21176.0000000,21135.0000000,21169.0000000,120
20160118,102100,21169.0000000,21233.0000000,21168.0000000,21233.0000000,83
20160118,102200,21239.0000000,21466.0000000,21239.0000000,21462.0000000,620
20160118,102300,21462.0000000,21462.0000000,21265.0000000,21399.0000000,367
20160118,102400,21386.0000000,21387.0000000,21361.0000000,21361.0000000,55
20160118,102500,21362.0000000,21362.0000000,21320.0000000,21320.0000000,122
20160118,102600,21308.0000000,21330.0000000,21306.0000000,21310.0000000,62
