<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20160118,100000,162250.0000000,162675.0000000,160350.0000000,160350.0000000,343
20160118,100100,160550.0000000,161150.0000000,160550.0000000,161000.0000000,190
20160118,100200,161025.0000000,161250.0000000,160900.0000000,160925.0000000,123
20160118,100300,160975.0000000,161000.0000000,160900.0000000,160900.0000000,46
20160118,100400,161000.0000000,161425.0000000,161000.0000000,161300.0000000,97
20160118,100500,161325.0000000,161900.0000000,161300.0000000,161900.0000000,155
20160118,100600,161900.0000000,162000.0000000,161675.0000000,161775.0000000,117
20160118,100700,161750.0000000,161800.0000000,161425.0000000,161450.0000000,38
20160118,100800,161400.0000000,161500.0000000,161250.0000000,161325.0000000,106
20160118,100900,161375.0000000,161375.0000000,161125.0000000,161125.0000000,49
20160118,101000,161175.0000000,161275.0000000,161050.0000000,161225.0000000,47
20160118,101100,161250.0000000,161275.0000000,161150.0000000,161150.0000000,47
20160118,101200,161150.0000000,161150.0000000,160975.0000000,161025.0000000,46
20160118,101300,161000.0000000,161000.0000000,160650.0000000,160875.0000000,38
20160118,101400,160875.0000000,160875.0000000,160550.0000000,160600.0000000,86
20160118,101500,160600.0000000,160600.0000000,160350.0000000,160350.0000000,20
20160118,101600,160325.0000000,160525.0000000,160225.0000000,160525.0000000,30
20160118,101700,160600.0000000,160900.0000000,160600.0000000,160850.0000000,83
20160118,101800,160975.0000000,161075.0000000,160850.0000000,160850.0000000,45
20160118,101900,160825.0000000,160875.0000000,160675.0000000,160725.0000000,35
20160118,102000,160725.0000000,160875.0000000,160725.0000000,160775.0000000,19
20160118,102100,160800.0000000,161100.0000000,160775.0000000,161075.0000000,33
20160118,102200,161150.0000000,162175.0000000,161150.0000000,162175.0000000,223
20160118,102300,162125.0000000,162200.0000000,161675.0000000,161925.0000000,80
20160118,102400,161900.0000000,161950.0000000,161825.0000000,161850.0000000,20
20160118,102500,161850.0000000,161900.0000000,161700.0000000,161700.0000000,136
20160118,102600,161675.0000000,161725.0000000,161575.0000000,161625.0000000,119
20160118,102700,161650.0000000,161850.0000000,161575.0000000,161850.0000000,35
20160118,102800,161900.0000000,162075.0000000,161850.0000000,162075.0000000,31
20160118,102900,162075.0000000,162200.0000000,162050.0000000,162100.0000000,42
20160118,103000,162025.0000000,162025.0000000,161750.0000000,161850.0000000,104
20160118,103100,161875.0000000,161900.0000000,161800.0000000,161900.0000000,12
20160118,103200,161875.0000000,161875.0000000,161700.0000000,161750.0000000,21
20160118,103300,161800.0000000,161825.0000000,161650.0000000,161825.0000000,86
20160118,103400,161875.0000000,162075.0000000,161850.0000000,162000.0000000,61
20160118,103500,162025.0000000,162075.0000000,162000.0000000,162000.0000000,20
20160118,103600,162050.0000000,162300.0000000,162050.0000000,162300.0000000,59
20160118,103700,162275.0000000,162500.0000000,162275.0000000,162425.0000000,66
20160118,103800,162350.0000000,162400.0000000,162200.0000000,162400.0000000,21
20160118,103900,162300.0000000,162700.0000000,162275.0000000,162425.0000000,87
20160118,104000,162550.0000000,162550.0000000,162325.0000000,162350.0000000,20
20160118,104100,162425.0000000,162525.0000000,162400.0000000,162525.0000000,12
20160118,104200,162525.0000000,162550.0000000,162500.0000000,162550.0000000,14
20160118,104300,162500.0000000,162500.0000000,162500.0000000,162500.0000000,1
20160118,104400,162500.0000000,162550.0000000,162425.0000000,162425.0000000,24
20160118,104500,162425.0000000,162425.0000000,162425.0000000,162425.0000000,13
20160118,104600,162425.0000000,162550.0000000,162400.0000000,162550.0000000,47
20160118,104700,162500.0000000,162525.0000000,162450.0000000,162450.0000000,7
20160118,104800,162475.0000000,162500.0000000,162475.0000000,162475.0000000,9
20160118,104900,162500.0000000,162625.0000000,162500.0000000,162525.0000000,18
20160118,105000,162575.0000000,162575.0000000,162425.0000000,162425.0000000,12
20160118,105100,162400.0000000,162525.0000000,162400.0000000,162500.0000000,7
20160118,105200,162500.0000000,162500.0000000,162450.0000000,162450.0000000,7
20160118,105300,162500.0000000,162500.0000000,162425.0000000,162500.0000000,18
20160118,105400,162500.0000000,162650.0000000,162475.0000000,162650.0000000,32
20160118,105500,162625.0000000,162625.0000000,162575.0000000,162600.0000000,31
20160118,105600,162525.0000000,162550.0000000,162500.0000000,162500.0000000,18
20160118,105700,162475.0000000,162500.0000000,162375.0000000,162375.0000000,8
20160118,105800,162400.0000000,162425.0000000,162375.0000000,162425.0000000,18
20160118,105900,162450.0000000,162625.0000000,162450.0000000,162550.0000000,24
20160118,110000,162575.0000000,162800.0000000,162575.0000000,162625.0000000,81
20160118,110100,162625.0000000,163075.0000000,162575.0000000,163025.0000000,118
20160118,110200,162875.0000000,162875.0000000,162775.0000000,162775.0000000,72
20160118,110300,162850.0000000,162850.0000000,162725.0000000,162800.0000000,25
20160118,110400,162950.0000000,163050.0000000,162850.0000000,162950.0000000,81
20160118,110500,163025.0000000,163125.0000000,162925.0000000,162925.0000000,49
20160118,110600,162950.0000000,163250.0000000,162850.0000000,163200.0000000,101
20160118,110700,163275.0000000,163475.0000000,163275.0000000,163400.0000000,206
20160118,110800,163400.0000000,163425.0000000,163375.0000000,163375.0000000,25
20160118,110900,163450.0000000,163500.0000000,163350.0000000,163350.0000000,47
20160118,111000,163375.0000000,163425.0000000,163325.0000000,163325.0000000,18
20160118,111100,163325.0000000,163500.0000000,163300.0000000,163325.0000000,78
20160118,111200,163400.0000000,163600.0000000,163400.0000000,163600.0000000,112
20160118,111300,163625.0000000,163900.0000000,163625.0000000,163900.0000000,67
20160118,111400,163950.0000000,164050.0000000,163875.0000000,164025.0000000,49
20160118,111500,164025.0000000,164575.0000000,164025.0000000,164425.0000000,205
20160118,111600,164400.0000000,164475.0000000,164075.0000000,164125.0000000,127
20160118,111700,164150.0000000,164350.0000000,164150.0000000,164275.0000000,16
20160118,111800,164150.0000000,164400.0000000,164125.0000000,164325.0000000,70
20160118,111900,164375.0000000,164425.0000000,164250.0000000,164250.0000000,11
20160118,112000,164275.0000000,164350.0000000,164200.0000000,164350.0000000,63
20160118,112100,164250.0000000,164325.0000000,164100.0000000,164100.0000000,44
20160118,112200,164050.0000000,164075.0000000,163775.0000000,163775.0000000,88
20160118,112300,163750.0000000,163875.0000000,163725.0000000,163800.0000000,21
20160118,112400,163800.0000000,163800.0000000,163600.0000000,163625.0000000,49
20160118,112500,163650.0000000,163700.0000000,163575.0000000,163700.0000000,28
20160118,112600,163875.0000000,164175.0000000,163800.0000000,164100.0000000,60
20160118,112700,164075.0000000,164075.0000000,163900.0000000,163975.0000000,26
20160118,112800,164000.0000000,164000.0000000,163900.0000000,163900.0000000,13
20160118,112900,164000.0000000,164150.0000000,163975.0000000,163975.0000000,20
20160118,113000,163925.0000000,163925.0000000,163750.0000000,163750.0000000,20
20160118,113100,163700.0000000,163700.0000000,163500.0000000,163550.0000000,73
20160118,113200,163575.0000000,163675.0000000,163575.0000000,163625.0000000,7
20160118,113300,163450.0000000,163525.0000000,163425.0000000,163525.0000000,8
20160118,113400,163500.0000000,163500.0000000,163500.0000000,163500.0000000,1
20160118,113500,163450.0000000,163475.0000000,163425.0000000,163475.0000000,12
20160118,113600,163500.0000000,163550.0000000,163300.0000000,163425.0000000,38
20160118,113700,163400.0000000,163600.0000000,163400.0000000,163575.0000000,10
20160118,113800,163500.0000000,163550.0000000,163425.0000000,163550.0000000,10
20160118,113900,163600.0000000,163725.0000000,163575.0000000,163625.0000000,15
20160118,114000,163650.0000000,163850.0000000,163650.0000000,163850.0000000,4
20160118,114100,163675.0000000,163800.0000000,163675.0000000,163800.0000000,4
20160118,114200,163700.0000000,163875.0000000,163700.0000000,163850.0000000,6
20160118,114300,163800.0000000,163800.0000000,163800.0000000,163800.0000000,4
20160118,114400,163800.0000000,163800.0000000,163775.0000000,163800.0000000,14
20160118,114500,163825.0000000,163825.0000000,163800.0000000,163825.0000000,8
20160118,114600,163800.0000000,163800.0000000,163625.0000000,163625.0000000,6
20160118,114700,163575.0000000,163800.0000000,163575.0000000,163800.0000000,9
20160118,114800,163800.0000000,163900.0000000,163800.0000000,163875.0000000,20
20160118,114900,163775.0000000,163825.0000000,163775.0000000,163800.0000000,7
20160118,115000,163775.0000000,163775.0000000,163725.0000000,163775.0000000,12
20160118,115100,163775.0000000,163950.0000000,163725.0000000,163950.0000000,14
20160118,115200,163975.0000000,163975.0000000,163875.0000000,163875.0000000,3
20160118,115300,163950.0000000,163950.0000000,163950.0000000,163950.0000000,1
20160118,115400,163975.0000000,164000.0000000,163975.0000000,164000.0000000,8
20160118,115500,164000.0000000,164000.0000000,163850.0000000,163875.0000000,5
20160118,115600,163850.0000000,163850.0000000,163675.0000000,163700.0000000,16
20160118,115700,163650.0000000,163700.0000000,163650.0000000,163675.0000000,6
20160118,115800,163725.0000000,163875.0000000,163725.0000000,163825.0000000,8
20160118,115900,163850.0000000,163850.0000000,163700.0000000,163700.0000000,14
20160118,120000,163975.0000000,164050.0000000,163925.0000000,163925.0000000,14
20160118,120100,163800.0000000,163950.0000000,163800.0000000,163950.0000000,8
20160118,120200,164000.0000000,164025.0000000,164000.0000000,164025.0000000,2
20160118,120300,163850.0000000,163875.0000000,163725.0000000,163725.0000000,13
20160118,120400,163700.0000000,163700.0000000,163500.0000000,163500.0000000,19
20160118,120500,163425.0000000,163425.0000000,163300.0000000,163325.0000000,20
20160118,120600,163475.0000000,163600.0000000,163475.0000000,163525.0000000,6
20160118,120700,163450.0000000,163475.0000000,163425.0000000,163475.0000000,4
20160118,120800,163500.0000000,163500.0000000,163375.0000000,163375.0000000,4
20160118,121000,163375.0000000,163450.0000000,163375.0000000,163450.0000000,15
20160118,121100,163250.0000000,163250.0000000,163200.0000000,163250.0000000,16
20160118,121200,163175.0000000,163350.0000000,163175.0000000,163350.0000000,3
20160118,121300,163350.0000000,163425.0000000,163350.0000000,163425.0000000,4
20160118,121400,163475.0000000,163475.0000000,163475.0000000,163475.0000000,1
20160118,121500,163450.0000000,163750.0000000,163450.0000000,163725.0000000,13
20160118,121600,163800.0000000,163900.0000000,163775.0000000,163775.0000000,7
20160118,121700,163825.0000000,163825.0000000,163650.0000000,163700.0000000,16
20160118,121800,163700.0000000,163775.0000000,163700.0000000,163775.0000000,4
20160118,121900,163775.0000000,163775.0000000,163725.0000000,163725.0000000,2
20160118,122000,163775.0000000,163775.0000000,163775.0000000,163775.0000000,9
20160118,122100,163725.0000000,163725.0000000,163725.0000000,163725.0000000,1
20160118,122200,163625.0000000,163650.0000000,163625.0000000,163650.0000000,2
20160118,122300,163525.0000000,163625.0000000,163525.0000000,163625.0000000,9
20160118,122400,163525.0000000,163525.0000000,163525.0000000,163525.0000000,4
20160118,122500,163450.0000000,163450.0000000,163400.0000000,163425.0000000,3
20160118,122600,163400.0000000,163400.0000000,163400.0000000,163400.0000000,1
20160118,122700,163525.0000000,163525.0000000,163425.0000000,163425.0000000,4
20160118,122800,163400.0000000,163400.0000000,163400.0000000,163400.0000000,3
20160118,122900,163325.0000000,163325.0000000,163300.0000000,163325.0000000,9
20160118,123000,163325.0000000,163350.0000000,163325.0000000,163325.0000000,8
20160118,123100,163350.0000000,163400.0000000,163300.0000000,163400.0000000,15
20160118,123200,163325.0000000,163325.0000000,163325.0000000,163325.0000000,1
20160118,123300,163275.0000000,163350.0000000,163275.0000000,163350.0000000,10
20160118,123400,163400.0000000,163450.0000000,163400.0000000,163450.0000000,9
20160118,123500,163400.0000000,163400.0000000,163400.0000000,163400.0000000,3
20160118,123600,163400.0000000,163450.0000000,163400.0000000,163450.0000000,6
20160118,123700,163425.0000000,163600.0000000,163425.0000000,163500.0000000,20
20160118,123800,163450.0000000,163450.0000000,163450.0000000,163450.0000000,2
20160118,123900,163300.0000000,163300.0000000,163050.0000000,163150.0000000,23
20160118,124000,163150.0000000,163225.0000000,163125.0000000,163225.0000000,17
20160118,124100,163175.0000000,163175.0000000,163175.0000000,163175.0000000,8
20160118,124200,163050.0000000,163050.0000000,163050.0000000,163050.0000000,1
20160118,124300,163000.0000000,163000.0000000,162875.0000000,162950.0000000,75
20160118,124500,162975.0000000,162975.0000000,162925.0000000,162925.0000000,10
20160118,124600,162950.0000000,163000.0000000,162950.0000000,163000.0000000,4
20160118,124700,162950.0000000,162975.0000000,162875.0000000,162975.0000000,5
20160118,124800,162975.0000000,163200.0000000,162975.0000000,163200.0000000,45
20160118,124900,163250.0000000,163300.0000000,163200.0000000,163250.0000000,10
20160118,125000,163300.0000000,163750.0000000,163300.0000000,163725.0000000,68
20160118,125100,163725.0000000,163925.0000000,163675.0000000,163875.0000000,49
20160118,125200,163825.0000000,163825.0000000,163600.0000000,163600.0000000,18
20160118,125300,163650.0000000,163750.0000000,163650.0000000,163750.0000000,3
20160118,125400,163700.0000000,163925.0000000,163700.0000000,163850.0000000,15
20160118,125500,163900.0000000,164025.0000000,163875.0000000,164000.0000000,53
20160118,125600,164000.0000000,164025.0000000,163725.0000000,163725.0000000,16
20160118,125700,163750.0000000,163775.0000000,163625.0000000,163625.0000000,14
20160118,125800,163625.0000000,163825.0000000,163625.0000000,163825.0000000,22
20160118,125900,163900.0000000,163900.0000000,163800.0000000,163800.0000000,9
20160118,130000,163825.0000000,163825.0000000,163750.0000000,163750.0000000,7
20160118,130100,163775.0000000,163925.0000000,163775.0000000,163925.0000000,8
20160118,130200,163750.0000000,163750.0000000,163750.0000000,163750.0000000,1
20160118,130300,163750.0000000,163750.0000000,163700.0000000,163700.0000000,6
20160118,130400,163850.0000000,163850.0000000,163825.0000000,163825.0000000,2
20160118,130500,163875.0000000,163875.0000000,163700.0000000,163700.0000000,2
20160118,130600,163650.0000000,163650.0000000,163375.0000000,163400.0000000,30
20160118,130700,163425.0000000,163500.0000000,163375.0000000,163500.0000000,11
20160118,130800,163450.0000000,163525.0000000,163350.0000000,163525.0000000,17
20160118,130900,163425.0000000,163425.0000000,163375.0000000,163375.0000000,5
20160118,131000,163500.0000000,163600.0000000,163475.0000000,163475.0000000,15
20160118,131100,163450.0000000,163450.0000000,163425.0000000,163425.0000000,4
20160118,131200,163575.0000000,163575.0000000,163575.0000000,163575.0000000,1
20160118,131300,163600.0000000,163600.0000000,163600.0000000,163600.0000000,1
20160118,131400,163550.0000000,163550.0000000,163550.0000000,163550.0000000,2
20160118,131500,163575.0000000,163825.0000000,163575.0000000,163800.0000000,25
20160118,131600,163725.0000000,163725.0000000,163700.0000000,163700.0000000,4
20160118,131700,163475.0000000,163525.0000000,163475.0000000,163525.0000000,3
20160118,131800,163425.0000000,163475.0000000,163350.0000000,163350.0000000,20
20160118,131900,163350.0000000,163475.0000000,163350.0000000,163475.0000000,4
20160118,132000,163500.0000000,163550.0000000,163500.0000000,163525.0000000,6
20160118,132100,163425.0000000,163425.0000000,163375.0000000,163400.0000000,51
20160118,132200,163375.0000000,163400.0000000,163375.0000000,163375.0000000,13
20160118,132300,163375.0000000,163375.0000000,163250.0000000,163275.0000000,12
20160118,132400,163250.0000000,163250.0000000,163225.0000000,163225.0000000,10
20160118,132500,163200.0000000,163200.0000000,163125.0000000,163125.0000000,6
20160118,132600,163100.0000000,163100.0000000,162925.0000000,162925.0000000,68
20160118,132700,163000.0000000,163000.0000000,163000.0000000,163000.0000000,19
20160118,132800,162925.0000000,163050.0000000,162925.0000000,163050.0000000,15
20160118,132900,163125.0000000,163225.0000000,163125.0000000,163225.0000000,5
20160118,133000,163175.0000000,163350.0000000,163150.0000000,163350.0000000,14
20160118,133200,163175.0000000,163175.0000000,162925.0000000,162925.0000000,8
20160118,133300,162950.0000000,162975.0000000,162950.0000000,162975.0000000,5
20160118,133400,163125.0000000,163125.0000000,163025.0000000,163025.0000000,21
20160118,133500,163075.0000000,163075.0000000,163075.0000000,163075.0000000,3
20160118,133600,163100.0000000,163125.0000000,163100.0000000,163125.0000000,6
20160118,133700,163125.0000000,163225.0000000,163050.0000000,163225.0000000,26
20160118,133800,163175.0000000,163500.0000000,163175.0000000,163475.0000000,47
20160118,133900,163475.0000000,163475.0000000,163275.0000000,163275.0000000,3
20160118,134100,163325.0000000,163400.0000000,163325.0000000,163400.0000000,2
20160118,134300,163325.0000000,163650.0000000,163325.0000000,163625.0000000,44
20160118,134400,163625.0000000,163700.0000000,163625.0000000,163700.0000000,13
20160118,134500,163625.0000000,163675.0000000,163600.0000000,163650.0000000,19
20160118,134600,163625.0000000,163625.0000000,163550.0000000,163550.0000000,6
20160118,134800,163550.0000000,163625.0000000,163550.0000000,163625.0000000,95
20160118,134900,163675.0000000,163700.0000000,163675.0000000,163700.0000000,35
20160118,135000,163750.0000000,163950.0000000,163725.0000000,163950.0000000,38
20160118,135100,163900.0000000,163900.0000000,163900.0000000,163900.0000000,4
20160118,135200,163925.0000000,164050.0000000,163925.0000000,164050.0000000,39
20160118,135300,164050.0000000,164150.0000000,164025.0000000,164100.0000000,25
20160118,135400,164100.0000000,164100.0000000,164050.0000000,164075.0000000,6
20160118,135500,164150.0000000,164250.0000000,164150.0000000,164250.0000000,10
20160118,135600,164250.0000000,164275.0000000,164250.0000000,164275.0000000,6
20160118,135700,164300.0000000,164500.0000000,164275.0000000,164350.0000000,70
20160118,135800,164350.0000000,164450.0000000,164325.0000000,164450.0000000,20
20160118,135900,164375.0000000,164375.0000000,164200.0000000,164325.0000000,8
20160118,140400,164500.0000000,164500.0000000,164225.0000000,164225.0000000,38
20160118,140500,164300.0000000,164475.0000000,164300.0000000,164475.0000000,22
20160118,140600,164350.0000000,164400.0000000,164350.0000000,164400.0000000,26
20160118,140700,164300.0000000,164300.0000000,164300.0000000,164300.0000000,3
20160118,140800,164375.0000000,164525.0000000,164375.0000000,164500.0000000,12
20160118,140900,164400.0000000,164400.0000000,164400.0000000,164400.0000000,1
20160118,141000,164425.0000000,164425.0000000,164375.0000000,164375.0000000,3
20160118,141100,164325.0000000,164400.0000000,164325.0000000,164400.0000000,7
20160118,141200,164400.0000000,164575.0000000,164400.0000000,164550.0000000,29
20160118,141300,164425.0000000,164450.0000000,164425.0000000,164450.0000000,2
20160118,141400,164375.0000000,164450.0000000,164375.0000000,164425.0000000,30
20160118,141500,164375.0000000,164375.0000000,164275.0000000,164275.0000000,5
20160118,141600,164250.0000000,164250.0000000,164150.0000000,164175.0000000,19
20160118,141700,164050.0000000,164050.0000000,164050.0000000,164050.0000000,2
20160118,141800,164000.0000000,164050.0000000,163925.0000000,164025.0000000,15
20160118,141900,164025.0000000,164125.0000000,163900.0000000,164125.0000000,13
20160118,142000,163950.0000000,163950.0000000,163850.0000000,163900.0000000,12
20160118,142100,163875.0000000,163875.0000000,163875.0000000,163875.0000000,2
