<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20160118,100000,64850.0000000,64850.0000000,63280.0000000,63310.0000000,11750
20160118,100100,63300.0000000,63610.0000000,63300.0000000,63460.0000000,6751
20160118,100200,63460.0000000,63580.0000000,63420.0000000,63460.0000000,5527
20160118,100300,63460.0000000,63520.0000000,63420.0000000,63490.0000000,1695
20160118,100400,63490.0000000,63780.0000000,63470.0000000,63710.0000000,2862
20160118,100500,63710.0000000,63910.0000000,63630.0000000,63900.0000000,2901
20160118,100600,63900.0000000,63960.0000000,63800.0000000,63850.0000000,2158
20160118,100700,63870.0000000,63880.0000000,63650.0000000,63660.0000000,2381
20160118,100800,63670.0000000,63740.0000000,63590.0000000,63620.0000000,1816
20160118,100900,63630.0000000,63630.0000000,63450.0000000,63490.0000000,2841
20160118,101000,63490.0000000,63490.0000000,63340.0000000,63450.0000000,2311
20160118,101100,63460.0000000,63500.0000000,63410.0000000,63470.0000000,1728
20160118,101200,63460.0000000,63470.0000000,63350.0000000,63350.0000000,1639
20160118,101300,63350.0000000,63360.0000000,63140.0000000,63240.0000000,3536
20160118,101400,63250.0000000,63250.0000000,63100.0000000,63150.0000000,4238
20160118,101500,63150.0000000,63180.0000000,63030.0000000,63040.0000000,2028
20160118,101600,63030.0000000,63170.0000000,63010.0000000,63160.0000000,2256
20160118,101700,63150.0000000,63350.0000000,63140.0000000,63350.0000000,3663
20160118,101800,63350.0000000,63440.0000000,63290.0000000,63300.0000000,2601
20160118,101900,63290.0000000,63310.0000000,63210.0000000,63260.0000000,1808
20160118,102000,63260.0000000,63300.0000000,63170.0000000,63280.0000000,2051
20160118,102100,63280.0000000,63390.0000000,63270.0000000,63360.0000000,2534
20160118,102200,63380.0000000,63890.0000000,63370.0000000,63880.0000000,6610
20160118,102300,63870.0000000,63880.0000000,63620.0000000,63730.0000000,2788
20160118,102400,63720.0000000,63800.0000000,63720.0000000,63800.0000000,993
20160118,102500,63790.0000000,63800.0000000,63660.0000000,63670.0000000,1281
20160118,102600,63680.0000000,63730.0000000,63620.0000000,63680.0000000,2069
20160118,102700,63680.0000000,63860.0000000,63640.0000000,63860.0000000,2378
20160118,102800,63860.0000000,63930.0000000,63800.0000000,63910.0000000,1856
20160118,102900,63910.0000000,63990.0000000,63900.0000000,63950.0000000,1884
20160118,103000,63950.0000000,63970.0000000,63750.0000000,63780.0000000,2536
20160118,103100,63780.0000000,63880.0000000,63740.0000000,63780.0000000,1446
20160118,103200,63780.0000000,63780.0000000,63670.0000000,63730.0000000,1452
20160118,103300,63730.0000000,63780.0000000,63720.0000000,63770.0000000,694
20160118,103400,63780.0000000,63880.0000000,63770.0000000,63840.0000000,1799
20160118,103500,63850.0000000,63890.0000000,63830.0000000,63870.0000000,2326
20160118,103600,63880.0000000,64020.0000000,63860.0000000,64020.0000000,5022
20160118,103700,64010.0000000,64110.0000000,64000.0000000,64030.0000000,3130
20160118,103800,64030.0000000,64080.0000000,63910.0000000,63990.0000000,2837
20160118,103900,63990.0000000,64160.0000000,63960.0000000,64050.0000000,3514
20160118,104000,64060.0000000,64120.0000000,63970.0000000,64010.0000000,2126
20160118,104100,64000.0000000,64060.0000000,63980.0000000,64040.0000000,1342
20160118,104200,64030.0000000,64060.0000000,64020.0000000,64050.0000000,608
20160118,104300,64050.0000000,64070.0000000,64020.0000000,64040.0000000,1072
