<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20160118,100000,8930.0000000,8930.0000000,8731.0000000,8733.0000000,16308
20160118,100100,8734.0000000,8753.0000000,8702.0000000,8714.0000000,13480
20160118,100200,8714.0000000,8735.0000000,8701.0000000,8726.0000000,12628
20160118,100300,8730.0000000,8744.0000000,8727.0000000,8729.0000000,6872
20160118,100400,8731.0000000,8761.0000000,8730.0000000,8756.0000000,4993
20160118,100500,8755.0000000,8773.0000000,8745.0000000,8769.0000000,3704
20160118,100600,8771.0000000,8786.0000000,8763.0000000,8775.0000000,5286
20160118,100700,8776.0000000,8782.0000000,8749.0000000,8752.0000000,4038
20160118,100800,8748.0000000,8765.0000000,8731.0000000,8743.0000000,4624
20160118,100900,8744.0000000,8746.0000000,8717.0000000,8718.0000000,1616
20160118,101000,8720.0000000,8736.0000000,8709.0000000,8732.0000000,3394
20160118,101100,8731.0000000,8742.0000000,8722.0000000,8726.0000000,2741
20160118,101200,8724.0000000,8734.0000000,8716.0000000,8722.0000000,1431
20160118,101300,8721.0000000,8729.0000000,8715.0000000,8722.0000000,2227
20160118,101400,8723.0000000,8729.0000000,8718.0000000,8720.0000000,1822
20160118,101500,8721.0000000,8724.0000000,8715.0000000,8716.0000000,1439
20160118,101600,8718.0000000,8729.0000000,8715.0000000,8729.0000000,1193
20160118,101700,8729.0000000,8755.0000000,8727.0000000,8752.0000000,4001
20160118,101800,8752.0000000,8759.0000000,8741.0000000,8744.0000000,2040
20160118,101900,8744.0000000,8747.0000000,8726.0000000,8735.0000000,2734
20160118,102000,8735.0000000,8755.0000000,8731.0000000,8755.0000000,2154
20160118,102100,8754.0000000,8763.0000000,8750.0000000,8758.0000000,1863
20160118,102200,8757.0000000,8786.0000000,8750.0000000,8781.0000000,6218
20160118,102300,8781.0000000,8789.0000000,8753.0000000,8769.0000000,4810
20160118,102400,8769.0000000,8782.0000000,8769.0000000,8775.0000000,2492
20160118,102500,8774.0000000,8775.0000000,8764.0000000,8769.0000000,1889
20160118,102600,8771.0000000,8782.0000000,8768.0000000,8781.0000000,1850
20160118,102700,8782.0000000,8791.0000000,8770.0000000,8790.0000000,3594
20160118,102800,8790.0000000,8800.0000000,8786.0000000,8796.0000000,3173
20160118,102900,8798.0000000,8811.0000000,8797.0000000,8805.0000000,2196
20160118,103000,8802.0000000,8805.0000000,8775.0000000,8779.0000000,2359
20160118,103100,8779.0000000,8799.0000000,8774.0000000,8794.0000000,3826
20160118,103200,8791.0000000,8793.0000000,8781.0000000,8786.0000000,597
20160118,103300,8788.0000000,8795.0000000,8787.0000000,8794.0000000,434
20160118,103400,8792.0000000,8802.0000000,8792.0000000,8795.0000000,1052
20160118,103500,8795.0000000,8801.0000000,8789.0000000,8789.0000000,608
20160118,103600,8791.0000000,8803.0000000,8784.0000000,8800.0000000,767
20160118,103700,8802.0000000,8813.0000000,8802.0000000,8804.0000000,2878
20160118,103800,8803.0000000,8804.0000000,8792.0000000,8796.0000000,1860
20160118,103900,8793.0000000,8805.0000000,8779.0000000,8780.0000000,2235
20160118,104000,8780.0000000,8797.0000000,8780.0000000,8796.0000000,2029
20160118,104100,8795.0000000,8810.0000000,8790.0000000,8805.0000000,2116
20160118,104200,8805.0000000,8824.0000000,8805.0000000,8819.0000000,1806
20160118,104300,8819.0000000,8828.0000000,8817.0000000,8824.0000000,2054
20160118,104400,8826.0000000,8827.0000000,8808.0000000,8809.0000000,1535
20160118,104500,8811.0000000,8822.0000000,8809.0000000,8810.0000000,832
20160118,104600,8813.0000000,8825.0000000,8806.0000000,8825.0000000,788
