<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20160118,100000,78930.0000000,79800.0000000,78930.0000000,79757.0000000,52455
20160118,100100,79757.0000000,79962.0000000,79733.0000000,79935.0000000,36635
20160118,100200,79937.0000000,79941.0000000,79849.0000000,79900.0000000,22125
20160118,100300,79899.0000000,79930.0000000,79835.0000000,79854.0000000,14469
20160118,100400,79853.0000000,79854.0000000,79739.0000000,79765.0000000,16244
20160118,100500,79765.0000000,79883.0000000,79761.0000000,79814.0000000,13617
20160118,100600,79814.0000000,79839.0000000,79791.0000000,79811.0000000,7320
20160118,100700,79813.0000000,79898.0000000,79809.0000000,79888.0000000,10812
20160118,100800,79887.0000000,79935.0000000,79821.0000000,79924.0000000,24521
20160118,100900,79924.0000000,80000.0000000,79906.0000000,79993.0000000,17834
20160118,101000,79989.0000000,80117.0000000,79988.0000000,80045.0000000,26076
20160118,101100,80050.0000000,80054.0000000,80007.0000000,80016.0000000,13795
20160118,101200,80019.0000000,80085.0000000,80014.0000000,80081.0000000,6764
20160118,101300,80080.0000000,80201.0000000,80073.0000000,80152.0000000,17555
20160118,101400,80152.0000000,80198.0000000,80103.0000000,80108.0000000,11985
20160118,101500,80111.0000000,80177.0000000,80094.0000000,80134.0000000,10547
20160118,101600,80131.0000000,80137.0000000,80085.0000000,80091.0000000,10752
20160118,101700,80091.0000000,80091.0000000,80023.0000000,80035.0000000,7984
20160118,101800,80035.0000000,80088.0000000,80024.0000000,80082.0000000,17707
20160118,101900,80077.0000000,80118.0000000,80050.0000000,80072.0000000,14615
20160118,102000,80075.0000000,80141.0000000,80045.0000000,80057.0000000,23278
20160118,102100,80061.0000000,80108.0000000,80032.0000000,80092.0000000,11016
20160118,102200,80092.0000000,80092.0000000,80000.0000000,80005.0000000,13935
20160118,102300,80002.0000000,80071.0000000,80002.0000000,80043.0000000,8915
20160118,102400,80045.0000000,80045.0000000,79963.0000000,79972.0000000,12644
20160118,102500,79973.0000000,80027.0000000,79973.0000000,80024.0000000,12421
20160118,102600,80022.0000000,80035.0000000,79980.0000000,79998.0000000,10102
20160118,102700,79993.0000000,79996.0000000,79875.0000000,79877.0000000,20849
