<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20160118,100000,7049.0000000,7050.0000000,6941.0000000,6943.0000000,1142
20160118,100100,6944.0000000,7000.0000000,6944.0000000,7000.0000000,776
20160118,100200,6997.0000000,7051.0000000,6997.0000000,7011.0000000,1885
20160118,100300,7005.0000000,7021.0000000,6988.0000000,6990.0000000,358
20160118,100400,6995.0000000,7012.0000000,6994.0000000,7012.0000000,258
20160118,100500,7012.0000000,7029.0000000,6992.0000000,7025.0000000,343
20160118,100600,7028.0000000,7032.0000000,7000.0000000,7000.0000000,198
20160118,100700,7004.0000000,7006.0000000,6937.0000000,6968.0000000,497
20160118,100800,6966.0000000,6992.0000000,6966.0000000,6976.0000000,187
20160118,100900,6975.0000000,6975.0000000,6941.0000000,6941.0000000,505
20160118,101000,6941.0000000,6970.0000000,6924.0000000,6967.0000000,455
20160118,101100,6960.0000000,6965.0000000,6942.0000000,6950.0000000,169
20160118,101200,6953.0000000,6962.0000000,6939.0000000,6946.0000000,102
20160118,101300,6946.0000000,6954.0000000,6930.0000000,6938.0000000,219
20160118,101400,6936.0000000,6939.0000000,6928.0000000,6932.0000000,136
20160118,101500,6932.0000000,6933.0000000,6913.0000000,6921.0000000,254
20160118,101600,6923.0000000,6925.0000000,6916.0000000,6925.0000000,51
20160118,101700,6924.0000000,6929.0000000,6909.0000000,6924.0000000,218
20160118,101800,6925.0000000,6925.0000000,6911.0000000,6911.0000000,94
20160118,101900,6912.0000000,6912.0000000,6901.0000000,6905.0000000,157
20160118,102000,6905.0000000,6921.0000000,6905.0000000,6917.0000000,282
20160118,102100,6914.0000000,6923.0000000,6914.0000000,6920.0000000,227
20160118,102200,6923.0000000,6971.0000000,6923.0000000,6971.0000000,453
20160118,102300,6964.0000000,6998.0000000,6936.0000000,6943.0000000,368
20160118,102400,6945.0000000,6967.0000000,6945.0000000,6960.0000000,215
20160118,102500,6959.0000000,6959.0000000,6956.0000000,6958.0000000,108
20160118,102600,6957.0000000,6963.0000000,6946.0000000,6946.0000000,128
20160118,102700,6946.0000000,6963.0000000,6940.0000000,6963.0000000,178
20160118,102800,6964.0000000,6980.0000000,6963.0000000,6980.0000000,65
20160118,102900,6984.0000000,6998.0000000,6977.0000000,6978.0000000,74
20160118,103000,6975.0000000,6982.0000000,6964.0000000,6982.0000000,306
20160118,103100,6980.0000000,6984.0000000,6974.0000000,6981.0000000,74
20160118,103200,6976.0000000,6976.0000000,6966.0000000,6975.0000000,108
20160118,103300,6975.0000000,6994.0000000,6975.0000000,6992.0000000,130
20160118,103400,6991.0000000,6992.0000000,6985.0000000,6987.0000000,178
20160118,103500,6989.0000000,6991.0000000,6983.0000000,6987.0000000,24
20160118,103600,6990.0000000,7009.0000000,6989.0000000,7007.0000000,177
20160118,103700,7011.0000000,7026.0000000,6983.0000000,7001.0000000,317
20160118,103800,7000.0000000,7000.0000000,6980.0000000,6991.0000000,184
20160118,103900,6990.0000000,7024.0000000,6980.0000000,7011.0000000,180
20160118,104000,7012.0000000,7018.0000000,6995.0000000,7002.0000000,156
20160118,104100,7006.0000000,7020.0000000,7006.0000000,7020.0000000,44
20160118,104200,7018.0000000,7023.0000000,7014.0000000,7014.0000000,29
20160118,104300,7013.0000000,7013.0000000,7008.0000000,7012.0000000,9
20160118,104400,7008.0000000,7008.0000000,7000.0000000,7000.0000000,56
20160118,104500,6997.0000000,6998.0000000,6992.0000000,6992.0000000,32
20160118,104600,6997.0000000,7015.0000000,6994.0000000,7015.0000000,224
20160118,104700,7013.0000000,7014.0000000,7008.0000000,7010.0000000,36
20160118,104800,7013.0000000,7013.0000000,6996.0000000,7000.0000000,70
20160118,104900,7000.0000000,7006.0000000,7000.0000000,7003.0000000,67
20160118,105000,7007.0000000,7008.0000000,7000.0000000,7004.0000000,26
20160118,105100,7000.0000000,7008.0000000,6999.0000000,7002.0000000,36
20160118,105200,7006.0000000,7007.0000000,6998.0000000,7005.0000000,26
20160118,105300,7004.0000000,7004.0000000,7004.0000000,7004.0000000,2
20160118,105400,7000.0000000,7014.0000000,7000.0000000,7014.0000000,52
20160118,105500,7012.0000000,7017.0000000,7011.0000000,7011.0000000,111
20160118,105600,7011.0000000,7011.0000000,7001.0000000,7004.0000000,91
20160118,105700,7002.0000000,7002.0000000,7001.0000000,7001.0000000,7
20160118,105800,6996.0000000,6996.0000000,6996.0000000,6996.0000000,3
20160118,105900,7000.0000000,7008.0000000,6992.0000000,6994.0000000,58
20160118,110000,6990.0000000,6990.0000000,6972.0000000,6981.0000000,529
20160118,110100,6978.0000000,6984.0000000,6975.0000000,6984.0000000,299
20160118,110200,6978.0000000,6984.0000000,6975.0000000,6977.0000000,140
20160118,110300,6980.0000000,6980.0000000,6976.0000000,6977.0000000,7
20160118,110400,6981.0000000,6984.0000000,6981.0000000,6983.0000000,18
20160118,110500,6981.0000000,6985.0000000,6977.0000000,6977.0000000,103
20160118,110600,6981.0000000,6986.0000000,6975.0000000,6986.0000000,354
20160118,110700,6995.0000000,7014.0000000,6995.0000000,7009.0000000,78
20160118,110800,7006.0000000,7014.0000000,7004.0000000,7014.0000000,54
20160118,110900,7015.0000000,7019.0000000,7006.0000000,7015.0000000,89
20160118,111000,7014.0000000,7014.0000000,6995.0000000,7002.0000000,173
20160118,111100,7002.0000000,7006.0000000,6971.0000000,6971.0000000,327
20160118,111200,6972.0000000,7033.0000000,6972.0000000,7022.0000000,487
20160118,111300,7028.0000000,7052.0000000,7004.0000000,7022.0000000,811
20160118,111400,7021.0000000,7032.0000000,7020.0000000,7027.0000000,195
20160118,111500,7030.0000000,7089.0000000,7028.0000000,7077.0000000,810
20160118,111600,7081.0000000,7082.0000000,7066.0000000,7075.0000000,287
20160118,111700,7069.0000000,7093.0000000,7068.0000000,7090.0000000,424
20160118,111800,7084.0000000,7097.0000000,7084.0000000,7096.0000000,173
20160118,111900,7098.0000000,7109.0000000,7091.0000000,7094.0000000,493
20160118,112000,7092.0000000,7110.0000000,7091.0000000,7104.0000000,204
20160118,112100,7108.0000000,7110.0000000,7099.0000000,7101.0000000,213
20160118,112200,7101.0000000,7101.0000000,7066.0000000,7068.0000000,485
20160118,112300,7068.0000000,7072.0000000,7061.0000000,7066.0000000,126
20160118,112400,7066.0000000,7066.0000000,7061.0000000,7066.0000000,116
20160118,112500,7067.0000000,7073.0000000,7066.0000000,7071.0000000,113
20160118,112600,7076.0000000,7092.0000000,7058.0000000,7071.0000000,322
20160118,112700,7065.0000000,7065.0000000,7055.0000000,7059.0000000,113
20160118,112800,7064.0000000,7064.0000000,7042.0000000,7047.0000000,156
20160118,112900,7050.0000000,7072.0000000,7031.0000000,7031.0000000,236
20160118,113000,7030.0000000,7030.0000000,6991.0000000,6991.0000000,468
20160118,113100,6994.0000000,7021.0000000,6987.0000000,6994.0000000,270
20160118,113200,6995.0000000,7004.0000000,6995.0000000,6997.0000000,148
20160118,113300,7003.0000000,7003.0000000,7000.0000000,7000.0000000,33
20160118,113400,6995.0000000,6995.0000000,6992.0000000,6993.0000000,13
20160118,113500,6993.0000000,6998.0000000,6991.0000000,6998.0000000,44
20160118,113600,6999.0000000,7003.0000000,6982.0000000,6982.0000000,165
20160118,113700,6982.0000000,6990.0000000,6982.0000000,6988.0000000,247
20160118,113800,6988.0000000,6991.0000000,6977.0000000,6991.0000000,181
20160118,113900,6991.0000000,7002.0000000,6988.0000000,6988.0000000,78
20160118,114000,6988.0000000,6994.0000000,6986.0000000,6994.0000000,45
20160118,114100,6995.0000000,6997.0000000,6995.0000000,6997.0000000,14
20160118,114200,7000.0000000,7000.0000000,6988.0000000,6988.0000000,159
20160118,114300,6990.0000000,6995.0000000,6985.0000000,6992.0000000,100
20160118,114400,6992.0000000,6999.0000000,6985.0000000,6990.0000000,91
20160118,114500,6991.0000000,6997.0000000,6990.0000000,6997.0000000,48
20160118,114600,6995.0000000,6998.0000000,6986.0000000,6986.0000000,48
20160118,114700,6982.0000000,6991.0000000,6976.0000000,6989.0000000,131
20160118,114800,6985.0000000,6985.0000000,6984.0000000,6984.0000000,7
20160118,115000,6981.0000000,6986.0000000,6980.0000000,6986.0000000,31
20160118,115100,6988.0000000,6988.0000000,6988.0000000,6988.0000000,14
20160118,115200,6990.0000000,6990.0000000,6979.0000000,6979.0000000,39
20160118,115300,6979.0000000,6985.0000000,6977.0000000,6985.0000000,86
20160118,115500,6981.0000000,6986.0000000,6981.0000000,6985.0000000,32
20160118,115600,6985.0000000,6985.0000000,6971.0000000,6975.0000000,124
20160118,115700,6971.0000000,6980.0000000,6971.0000000,6973.0000000,40
20160118,115800,6975.0000000,6982.0000000,6975.0000000,6975.0000000,60
20160118,115900,6978.0000000,6980.0000000,6976.0000000,6980.0000000,162
20160118,120000,6980.0000000,6998.0000000,6972.0000000,6972.0000000,784
20160118,120100,6976.0000000,6980.0000000,6971.0000000,6973.0000000,797
20160118,120200,6975.0000000,6978.0000000,6971.0000000,6971.0000000,708
20160118,120300,6970.0000000,6974.0000000,6968.0000000,6971.0000000,47
20160118,120400,6971.0000000,6979.0000000,6968.0000000,6979.0000000,165
20160118,120500,6979.0000000,6980.0000000,6976.0000000,6980.0000000,158
20160118,120600,6980.0000000,6980.0000000,6975.0000000,6980.0000000,474
20160118,120700,6978.0000000,6982.0000000,6978.0000000,6982.0000000,5
20160118,120800,6977.0000000,6981.0000000,6975.0000000,6980.0000000,55
20160118,120900,6977.0000000,6977.0000000,6977.0000000,6977.0000000,1
20160118,121000,6979.0000000,6979.0000000,6979.0000000,6979.0000000,1
20160118,121200,6977.0000000,6982.0000000,6977.0000000,6982.0000000,11
20160118,121300,6983.0000000,6985.0000000,6981.0000000,6981.0000000,82
20160118,121500,6986.0000000,6996.0000000,6986.0000000,6993.0000000,48
20160118,121600,6992.0000000,6998.0000000,6991.0000000,6991.0000000,29
20160118,121700,6993.0000000,6993.0000000,6984.0000000,6984.0000000,33
20160118,121800,6985.0000000,6985.0000000,6981.0000000,6981.0000000,7
20160118,121900,6981.0000000,6981.0000000,6979.0000000,6979.0000000,48
20160118,122000,6983.0000000,6987.0000000,6983.0000000,6987.0000000,2
20160118,122100,6982.0000000,6983.0000000,6979.0000000,6982.0000000,39
20160118,122200,6980.0000000,6992.0000000,6980.0000000,6985.0000000,257
20160118,122300,6989.0000000,6996.0000000,6986.0000000,6996.0000000,94
20160118,122400,6990.0000000,6996.0000000,6986.0000000,6986.0000000,91
20160118,122500,6988.0000000,6989.0000000,6988.0000000,6989.0000000,25
20160118,122600,6985.0000000,6985.0000000,6985.0000000,6985.0000000,2
